sheet_id,image_idx,kind,anchor,anchor_evidence,frame_measured,positional_grade,road_fit_resid_m,road_fit_shift_m,old_crop_shift_px,land_km2,sea_fraction,sheet_km2,notes
34-XXV-d,81,single,cell,n/a (full cell),height,B,21,0,0.0,82.47,0.044,86.3,road fit agrees with the global calibration; frame only partly measurable (height)
34-XXV-e,82,single,cell,n/a (full cell),both,B,680,1391,8.0,84.83,0.018,86.36,road fit scattered; modern road density likely confused it
34-XXV-f,83,single,cell,n/a (full cell),both,A,21,0,19.0,83.15,0.035,86.19,road fit agrees with the global calibration
34-XXV-g,84,single,cell,n/a (full cell),both,A,21,0,18.3,81.44,0.058,86.45,road fit agrees with the global calibration
34-XXV-h,85,single,cell,n/a (full cell),both,A,21,0,14.5,86.51,0.0,86.51,road fit agrees with the global calibration
34-XXV-i,86,single,cell,n/a (full cell),both,B,693,649,43.8,58.32,0.324,86.29,road fit scattered; modern road density likely confused it
34-XXV-k,87,single,cell,n/a (full cell),both,B,613,1359,5.4,75.92,0.12,86.31,road fit scattered; modern road density likely confused it
34-XXV-l,88,single,cell,n/a (full cell),both,B,553,1345,3.9,86.47,0.0,86.47,road fit scattered; modern road density likely confused it
34-XXV-m,89,single,cell,n/a (full cell),height,C,366,365,26.2,86.55,0.0,86.55,road fit scattered; modern road density likely confused it; frame only partly measurable (height)
34-XXV-n,90,single,cell,n/a (full cell),both,A,103,120,0.0,63.33,0.268,86.47,road fit agrees with the global calibration
34-XXV-o,91,single,cell,n/a (full cell),both,B,,,9.5,86.38,0.0,86.38,not enough road ink to check independently
34-XXV-p,92,single,cell,n/a (full cell),both,B,218,175,1.7,86.28,0.0,86.28,road fit scattered; modern road density likely confused it
34-XXV-q,93,single,cell,n/a (full cell),width,C,595,537,17.2,86.16,0.0,86.16,road fit scattered; modern road density likely confused it; frame only partly measurable (width)
34-XXVI-a,94,single,cell,n/a (full cell),both,B,122,769,25.8,24.01,0.722,86.29,road fit scattered; modern road density likely confused it
34-XXVI-b,95,single,cell,n/a (full cell),both,B,,,8.8,86.44,0.0,86.44,not enough road ink to check independently
34-XXVI-c,96,single,cell,n/a (full cell),none,B,21,22,3.9,73.63,0.147,86.3,road fit agrees with the global calibration; frame only partly measurable (none)
34-XXVI-d,97,single,cell,n/a (full cell),both,A,21,0,0.0,84.92,0.015,86.25,road fit agrees with the global calibration
34-XXVI-e,98,single,cell,n/a (full cell),both,B,,,6.1,86.43,0.0,86.43,not enough road ink to check independently
34-XXVI-f,99,single,cell,n/a (full cell),both,B,,,7.2,86.3,0.0,86.3,not enough road ink to check independently
34-XXVI-g,100,single,cell,n/a (full cell),both,B,340,184,0.0,50.92,0.413,86.81,road fit scattered; modern road density likely confused it
34-XXVI-h,101,single,cell,n/a (full cell),both,A,21,0,8.0,72.29,0.162,86.28,road fit agrees with the global calibration
34-XXVI-k,102,single,cell,n/a (full cell),height,C,21,267,8.0,22.34,0.748,88.59,road fit scattered; modern road density likely confused it; frame only partly measurable (height)
34-XXVI-l,103,single,cell,n/a (full cell),both,B,1047,930,3.9,66.94,0.227,86.65,road fit scattered; modern road density likely confused it
34-XXVI-m,104,single,cell,n/a (full cell),both,A,21,0,0.0,80.9,0.065,86.52,road fit agrees with the global calibration
